verb,sentence,verb_idx,label,definition
miss,"He will always be our good friend , and I will miss him . '",11,0,to discover or feel the absence of
examine,"The GAO was also to examine if the law has caused excessive red tape for employers , and if the law is being implemented well",5,1,to inquire into carefully : investigate
flooded,But Cameloot was just another loser among the entries that flooded the offices of Circus Circus Enterprises Inc. during a contest to name its planned $ 290 million castle - theme resort,10,1,to fill abundantly or excessively
stepped,"On Oct. 20 , when the financial system was on the brink of a standstill because of potential defaults , the Federal Reserve stepped in to nip the crisis in the bud",23,1,to move by raising the foot and bringing it down elsewhere or by moving each foot in succession
fixing,"In a prepared statement , Chairman and Chief Executive Officer Charles Schwab said , '' We 're taking responsibility for what happened , for fixing it , and for making sure that it does n't happen again . '",24,1,to set in order : adjust
killed,"The message was programmed to be seen only once -- on March 2 -- '' then it killed itself , '' she said",17,1,"annihilate , destroy"
melting,"In a joint venture with a Japanese company this fall , Nucor Corp. of Charlotte will start melting steel in a new 500-worker I - beam mill at Blytheville , Ark . , on the Mississippi",17,0,to become altered from a solid to a liquid state usually by heat
touched,"Western military planners will call for the unilateral reduction of short - range nuclear systems that were n't touched by the recent superpower arms treaty , according to Gen. John Galvin , supreme Allied commander in Europe",18,1,to deal with : become involved with
strike,"In addition , the eight - warhead missiles carry guidance systems allowing them to strike Soviet targets precisely",14,0,to make a military attack on
grasp,"But if the Fed and other central banks and treasuries can this time grasp the principle , the dollar 's summer rally could be an important rendezvous for the world 's monetary system",13,1,to lay hold of with the mind : comprehend
kicked,"Even then , however , Australia 's new 49 % tax rate kicked in at an even lower income level than the old 60 % top rate did -- only 30 % above average yearly earnings",12,1,to remove from a position or status
flow,"These electrons then flow back and forth from one silicon layer to the other , creating an electric field whose current can be tapped",3,0,to move with a continual change of place among the constituent particles
plowed,Most land being farmed by FmHA borrowers would be plowed regardless of whether the FmHA ever existed,9,0,"to turn, break up, or work with a plow"
killed,"Two Arabs aboard the vessel were killed , and three others were captured after the boat was intercepted by an Israeli patrol vessel off the southern Lebanese port city of Tyre",6,0,to deprive of life : cause the death of
fly,'' It takes time to move them through the training and to get them ready to fly . ',16,0,to move in or pass through the air with wings
attacking,"Major newspapers generally endorse the notion of liberalization , but they are n't attacking the GATT solution",13,1,to assail with unfriendly or bitter words
dissolving,"JAMIE SECURITIES Inc. is dissolving , firm officials have said , but the company has n't formally announced the move",4,1,"break up , disperse"
evaporated,"The market pulled back during the afternoon amid profit - taking , traders said , and then began a fullscale retreat as buying interest evaporated",24,1,to pass off or away : disappear
targets,"The firm 's list also targets several truly out - of - favor stocks , namely Primerica , the financial - services concern , and retailers Dayton Hudson and Zayre",5,1,to direct or use toward a target
fills,"Formerly senior vice president of the international division of the New York Stock Exchange , he fills a vacancy created by recent resignations",16,0,to place a person in
examine,"If the Mulheren case does go forward , Mr. Puccio , a partner at Milbank , Tweed , Hadley & McCloy , would likely become the first defense lawyer to cross - examine Mr. Boesky , a role that would guarantee Mr. Puccio enormous media attention",32,0,to interrogate closely
die,"An estimated 18 , 100 Americans will die from it this year , making the disease the fifth - greatest cause of cancer deaths",7,0,to pass from physical life : expire
missed,He said people who criticize Wall Street 's computerized trading strategies have missed the point,12,1,"to fail to hit, reach, or contact"
ride,"Late at night , laughing families pack kebab restaurants or ride Ferris wheels at a gaudy amusement park",10,0,to travel on
grab,A Nomura investment would reflect the growing desire by major Japanese financial institutions to grab a bigger piece of the mergers and acquisitions activity taking place between Japan and the U.S,14,1,to obtain without consideration of what is right or wrong
stepping,"Publications , which always have had the option of using private instead of second - class delivery , are now stepping up their own alternative delivery plans",20,1,to move by raising the foot and bringing it down elsewhere or by moving each foot in succession
fixed,"With exchange rates credibly fixed , only slight British gold losses were necessary to increase British short - term interest rates sufficiently -- say , less than 50 basis points -- to keep the funds on deposit in London until gradually disbursed to finance the evolving U.S. trade deficit",4,0,not subject to change or fluctuation
